License Year, Hunting District,Deer Species,Residency,Hunters,Days,Days per Hunter,Total Harvest,Bucks,Does,Fawns,Bow,Rifle,Less than 4 Points, 4 or More Points
2004,216,wt,SUM,435,2444,6,46,33,14,0,0,46,15,16
2004,240,all_deer,N,99,469,5,36,31,4,2,5,31,9,18
2004,240,all_deer,R,2079,12317,6,900,605,277,16,122,778,276,312
2004,240,all_deer,SUM,2179,12786,6,936,636,281,18,127,809,286,330
2004,240,md,N,99,469,5,14,14,0,0,0,14,6,8
2004,240,md,R,2079,12317,6,124,122,2,0,3,121,68,54
2004,240,md,SUM,2179,12786,6,138,137,2,0,3,135,74,62
2004,240,wt,N,99,469,5,22,16,4,2,5,17,4,9
2004,240,wt,R,2079,12317,6,773,483,273,16,116,657,208,258
2004,240,wt,SUM,2179,12786,6,795,499,277,18,121,674,212,267
2004,250,all_deer,N,154,915,6,77,75,2,0,17,59,38,36
2004,250,all_deer,R,1233,8730,7,419,321,98,0,74,346,166,152
2004,250,all_deer,SUM,1387,9646,7,496,396,100,0,91,405,204,188
2004,250,md,N,154,915,6,72,72,0,0,15,57,38,34
2004,250,md,R,1233,8730,7,200,193,7,0,35,165,102,89
2004,250,md,SUM,1387,9646,7,272,265,7,0,50,222,140,123
2004,250,wt,N,154,915,6,4,2,2,0,2,2,0,2
2004,250,wt,R,1233,8730,7,217,127,91,0,39,179,63,61
2004,250,wt,SUM,1387,9646,7,222,129,93,0,41,181,63,64
2004,260,all_deer,N,43,266,6,21,7,11,3,14,7,0,4
2004,260,all_deer,R,1060,9826,9,1049,213,811,19,842,207,55,146
2004,260,all_deer,SUM,1103,10091,9,1070,220,821,23,856,214,55,149
2004,260,md,N,43,266,6,0,0,0,0,0,0,0,0
2004,260,md,R,1060,9826,9,2,2,0,0,0,2,2,0
2004,260,md,SUM,1103,10091,9,2,2,0,0,0,2,2,0
2004,260,wt,N,43,266,6,21,7,11,3,14,7,0,4
2004,260,wt,R,1060,9826,9,1044,210,811,19,839,205,53,144
2004,260,wt,SUM,1103,10091,9,1065,217,821,23,853,212,53,148
2004,261,all_deer,N,58,294,5,25,15,9,0,11,14,7,8
2004,261,all_deer,R,714,3921,6,282,156,120,5,7,275,66,91
2004,261,all_deer,SUM,772,4216,6,306,172,129,5,18,288,73,99
2004,261,md,N,58,294,5,1,1,0,0,0,1,0,1
2004,261,md,R,714,3921,6,72,26,46,1,0,72,5,21
2004,261,md,SUM,772,4216,6,73,27,46,1,0,73,5,22
2004,261,wt,N,58,294,5,24,14,9,0,11,13,7,7
2004,261,wt,R,714,3921,6,209,131,74,4,7,202,61,70
2004,261,wt,SUM,772,4216,6,233,145,84,4,18,215,68,77
2004,270,all_deer,N,221,1041,5,51,34,14,0,2,49,7,27
2004,270,all_deer,R,1833,10860,6,605,234,354,15,40,565,75,144
2004,270,all_deer,SUM,2054,11902,6,656,268,368,15,42,614,82,172
